Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-08,Other Manufactures Group,D) Machinery Specialized For,,,,,,,
2025-08,Particular Industries Group,E) Auto Parts & Accessories,    -,-,624.8732898438001,2208.8646576358437,-,457,1640
2025-08,Particular Industries Group,F) Rubber Tyres & Tubes,TH.NOS,2242.3434461,2233.3311191913003,7897.049344138827,1958,2452,8803
2025-08,Particular Industries Group,G) Other Machinery,    -,-,2241.4779624275,7929.187311876563,-,2628,9436
2025-08,Particular Industries Group,40.Gems,K.G,73.9696425,173.6353503926,614.7594255453531,27,75,271
2025-08,Particular Industries Group,41.Jewellary,    -,-,7.560218229999998,26.769150805749234,-,164,589
2025-08,Particular Industries Group,42.Furniture,TH.NOS,71.057,133.7912796477,473.43315769606187,113,234,839
2025-08,Particular Industries Group,43.Molasses,   M.T,1220.34,38.7511888875,136.84887670367928,8405,345,1239
2025-08,Particular Industries Group,44.Handicrafts,    -,-,1.3357744097,4.689395856415658,-,24,86
2025-08,Particular Industries Group,45.Cement,   M.T,980692.406,10705.647492852402,37790.35934763272,588813,6187,22212
2025-08,Particular Industries Group,46.Guar And Guar Products,   M.T,886.28,502.66768812230004,1778.7606829934668,1502,756,2714
Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-09,Food Group,1.Rice, M.T,167324.57880420002,29387.193798222386,104306.90375350998,374402,71563,257197
2025-09,Food Group,A) Basmati, M.T,35092.5164886,11574.235283913695,41093.88620327084,65108,19630,70551
2025-09,Food Group,B) Others, M.T,132232.06231560002,17812.95851430869,63213.01755023913,309294,51933,186646
2025-09,Food Group,2.Fish & Fish Preparations, M.T,18100.609009999996,12190.016389712699,43304.920132908774,15781,9739,35000
2025-09,Food Group,3.Fruits, M.T,45459.5626088,5193.1354261663,18444.827884600345,46367,6025,21653
2025-09,Food Group,4.Vegetables, M.T,39944.37024,3659.6125961484995,12999.221813105736,67361,5745,20649
2025-09,Food Group,5.Leguminous Vegetables  (Pulses), M.T,0,0,0,0,0,0
2025-09,Food Group,6.Tobacco, M.T,3464.28,3806.204368345,13512.761557876704,3929,4785,17197
2025-09,Food Group,7.Wheat, M.T,0,0,0,0,0,0
2025-09,Food Group,8.Spices, M.T,2344.522394799998,1954.8442907418075,6941.851349884285,1759,2366,8504
2025-09,Food Group,"9.Oil Seeds, Nuts And Kernals", M.T,21888.908346199998,7188.133137862197,25529.863987995308,72611,24923,89573
2025-09,Food Group,10.Sugar, M.T,0,0,0,51455,7863,28261
2025-09,Food Group,11.Meat And Meat Preparations, M.T,10119.6123901,12770.3941928517,45363.96959410939,9954,11268,40496
2025-09,Food Group,12.All Other Food Items,    -,-,18063.16397854869,64145.9391435283,-,23991,86222
2025-09,Textile Group,13.Raw Cotton, M.T,346.948,164.117992,583.2195877754087,0,0,0
2025-09,Textile Group,14.Cotton Yarn, M.T,25147.75080139999,17810.111469325697,63252.205334105754,19121,14466,51991
2025-09,Textile Group,15.Cotton Cloth, M.T,28934.988040599997,42260.63806922637,150095.9263288299,36422,55925,200992
2025-09,Textile Group,16.Cotton Carded Or Combed, M.T,0,0,0,0,0,0
2025-09,Textile Group,17.Yarn Other Than Cotton Yarn, M.T,1362.9853512,888.8396981351998,3156.9344947463555,909,728,2615
2025-09,Textile Group,18.Knitwear,TH.DOZ,21287,130988.9607703938,465166.1099892419,21952,124743,448323
2025-09,Textile Group,19.Bed Wear, M.T,47525.79239409999,80974.55575015381,287545.203982699,48305,80751,290219
2025-09,Textile Group,20.Towels, M.T,18404.52337929995,24218.18465664286,86004.05450144809,19328,25195,90550
2025-09,Textile Group,"21.Tents,Canvas & Tarpulin", M.T,5724.256628899999,6671.6816981964985,23691.304021600994,3694,2565,9219
2025-09,Textile Group,22.Readymade Garments,TH.DOZ,6430,92701.94887708253,329199.3943825051,7061,94137,338326
2025-09,Textile Group,"23.Art,Silk & Synthetic Textile", M.T,6519.2052151,8986.2564983142,31910.952629996984,7548,9805,35238
2025-09,Textile Group,24.Madeup Articles(Excl.Towels & Bedwear.),   -,-,19789.190615071802,70273.83057662868,-,19938,71657
2025-09,Textile Group,25.Other Textile Materials,   -,-,17470.982377838995,62040.38036247722,-,18288,65726
2025-09,Petroleum  & Coal Group,26.Petroleum Crude, M.T,0,0,0,40552,6879,24723
2025-09,Petroleum  & Coal Group,27.Petroleum Products(Excl Top Naphta), M.T,85640.314,9820.2846074175,34839.658443077395,58273,7322,26315
2025-09,Petroleum  & Coal Group,28.Petroleum Top Naphta, M.T,9233.172,1512.6982682760001,5373.706104,9279,1864,6698
2025-09,Petroleum  & Coal Group,29.Solid Fuels (Coal), M.T,0,0,0,0,0,0
2025-09,Other Manufactures Group,"30.Carpets, Rugs & Mats",TH.SQM,198.45328020000005,1152.370401071001,4092.465914365556,209,944,3392
2025-09,Other Manufactures Group,31.Sports Goods,   -,-,10057.969315907783,35714.629867636286,-,8654,31104
2025-09,Other Manufactures Group,A)  Footballs,TH.DOZ,386,6430.000358229586,22830.996752226652,313,4904,17625
2025-09,Other Manufactures Group,B)  Gloves,TH.DOZ,51,1218.6738751579974,4327.374126423367,80,1807,6495
2025-09,Other Manufactures Group,C)  Others,   -,-,2409.2950825202015,8556.258988986267,-,1943,6984
2025-09,Other Manufactures Group,32.Leather Tanned, M.T,812.5471242,3484.6762419596,12377.51626028686,801,3749,13474
2025-09,Other Manufactures Group,33.Leather Manufactures,    -,-,13637.520531150412,48427.620474550014,-,15465,55579
2025-09,Other Manufactures Group,A) Leather Garments, TH.DOZ,185,5777.950631579308,20519.586486136915,171,6824,24524
2025-09,Other Manufactures Group,B) Leather Gloves, TH.DOZ,863,7444.758046247304,26435.219459745742,877,8284,29772
